course_code,prerequisites,group_id
HL3030,HL1001,prereq_group_622
HL3036,HL1001,prereq_group_623
HL3044,HL1001,prereq_group_624
HL4009,HL1001,prereq_group_625
HL4012,HL1001,prereq_group_626
HL4018,HL1001,prereq_group_627
HL4028,HL1001,prereq_group_628
HL4030,HL1001,prereq_group_629
HL4034,HL1001,prereq_group_630
HL4039,HL1001,prereq_group_631
HL4041,HL1001,prereq_group_632
HL4042,HL1001,prereq_group_633
HL4043,HL1001,prereq_group_634
HG2013,HG1001,prereq_group_635
HG2017,HG1001|HG2003,prereq_group_636
HG2033,HG1001,prereq_group_637
HG3010,HG1001,prereq_group_638
HG3022,HG2020,prereq_group_639
HG3023,HG2001|HG2003,prereq_group_640
HG4015,HG1001,prereq_group_641
HG4021,HG2020,prereq_group_642
HG4023,HG2020,prereq_group_643
HG4028,HG2020,prereq_group_644
HG4043,HG2001|HG2002|HG2003,prereq_group_645
HG4046,HG2001,prereq_group_646
HG4047,HG2001|HG2002|HG2003,prereq_group_647
HG4051,HG2051,prereq_group_648
HG4071,HG2003,prereq_group_649
CS2007,CS0201,prereq_group_650
CS2028,CS2025,prereq_group_651
CS2300,CS2025,prereq_group_652
CS4020,CS2021,prereq_group_653
CS4097,CS2025,prereq_group_654
CS4264,CS2008,prereq_group_655
CZ4013,CZ2005|CZ3006,prereq_group_656
CZ4052,CZ1104,prereq_group_657
CZ4067,CZ2002|CZ2005,prereq_group_658
CZ4123,CZ2007,prereq_group_659
CZ4171,CE3005,prereq_group_660
SC3000,SC1007|SC1015|SC2000,prereq_group_661
SC3040,SC2006,prereq_group_662
SC4242,SC2001|SC2006,prereq_group_663
SC3020,SC2207,prereq_group_664
MH3500,MH2500,prereq_group_665
MH3511,MH2500,prereq_group_666
MH3701,MH1201,prereq_group_667
MH4500,MH2500|MH3500|MH3510,prereq_group_668
MH4501,MH2500|MH3500|MH3510,prereq_group_669
HE2001,HE1001,prereq_group_670
HE2002,HE1002,prereq_group_671
HE3003,HE2003,prereq_group_672
HE3012,AB1202|HE5091,prereq_group_673
HE3013,HE2001|HE2002|HE2003,prereq_group_674
HE3025,HE1001,prereq_group_675
HE3034,HE1001,prereq_group_676
MH3700,MH1200|MH1201,prereq_group_677
HE4040,HE2001,prereq_group_678
HE4043,HE2001|HE2002|HE2003,prereq_group_679
HE4903,HE3021,prereq_group_680
MH4514,MH2500|MH3512,prereq_group_681
MH1820,HE1004,prereq_group_682
HE3011,HE2001,prereq_group_683
HE3604,HE1001,prereq_group_684
HE4010,HE2001|HE2002,prereq_group_685
HE4011,HE2001|HE2002,prereq_group_686
HA2003,HA1001,prereq_group_687
HA2011,HA1003,prereq_group_688
HA2026,HA1001|HA1012,prereq_group_689
HA2027,HA2024,prereq_group_690
